batch,kernel_time,flops,utils,kernel_name
26536,23626.53,131.9,0.79458,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26540,23611.43,132.01,0.79524,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26544,23610.9,132.03,0.79536,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26548,23622.59,131.98,0.79506,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26552,23652.49,131.84,0.79422,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26556,23668.84,131.77,0.7938,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26560,23628.29,132.01,0.79524,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26564,23611.99,132.12,0.7959,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26568,23610.29,132.15,0.79608,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26572,23630.62,132.06,0.79554,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26576,23643.36,132.01,0.79524,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26580,23657.16,131.95,0.79488,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26584,23631.5,132.11,0.79584,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26588,23614.68,132.23,0.79657,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26592,23615.46,132.24,0.79663,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26596,23643.54,132.11,0.79584,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26600,23649.1,132.09,0.79572,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26604,23642.27,132.15,0.79608,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26608,23638.38,132.19,0.79633,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26612,23624.35,132.29,0.79693,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26616,23617.46,132.35,0.79729,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26620,23647.93,132.2,0.79639,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26624,23650.98,132.2,0.79639,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26628,20176.49,154.99,0.93367,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26632,20079.1,155.77,0.93837,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26636,20193.37,154.91,0.93319,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26640,20107.39,155.6,0.93735,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26644,20209.36,154.83,0.93271,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26648,20292.13,154.23,0.9291,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26652,20480.71,152.83,0.92066,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26656,20320.42,154.06,0.92807,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26660,20245.35,154.65,0.93163,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26664,20165.96,155.28,0.93542,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26668,20087.86,155.91,0.93922,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26672,20270.05,154.53,0.9309,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26676,20395.81,153.6,0.9253,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26680,20322.29,154.18,0.9288,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26684,20330.41,154.14,0.92855,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26688,20268.07,154.64,0.93157,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26692,20248.19,154.81,0.93259,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26696,20183.29,155.34,0.93578,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26700,20300.76,154.46,0.93048,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26704,20326.23,154.29,0.92946,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26708,20393.01,153.81,0.92657,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26712,20316.17,154.41,0.93018,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26716,20248.46,154.95,0.93343,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26720,20219.12,155.2,0.93494,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26724,20298.73,154.61,0.93139,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26728,20174.36,155.59,0.93729,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26732,20303.98,154.62,0.93145,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26736,20350.17,154.29,0.92946,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26740,20312.58,154.6,0.93133,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26744,20177.18,155.66,0.93771,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26748,20304.95,154.71,0.93199,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26752,20375.45,154.19,0.92886,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26756,23885.95,131.55,0.79247,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26760,23896.58,131.51,0.79223,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26764,23886.31,131.59,0.79271,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26768,23887.06,131.6,0.79277,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26772,23875.49,131.69,0.79331,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26776,23873.79,131.72,0.79349,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26780,23884.11,131.68,0.79325,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26784,23897.48,131.63,0.79295,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26788,23891.47,131.68,0.79325,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26792,23878.41,131.77,0.7938,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26796,23878.42,131.79,0.79392,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26800,23872.47,131.84,0.79422,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26804,23886.96,131.78,0.79386,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26808,23895.79,131.75,0.79367,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26812,23891.58,131.8,0.79398,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26816,23875.17,131.91,0.79464,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26820,23897.37,131.8,0.79398,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26824,23893.61,131.84,0.79422,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26828,23899.82,131.83,0.79416,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26832,23911.27,131.79,0.79392,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26836,23900.94,131.86,0.79434,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26840,23888.76,131.95,0.79488,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26844,23883.52,132.0,0.79518,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26848,23896.33,131.95,0.79488,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26852,23903.73,131.93,0.79476,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26856,23903.85,131.94,0.79482,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26860,23899.07,131.99,0.79512,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26864,23880.57,132.11,0.79584,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26868,23891.55,132.07,0.7956,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26872,23902.61,132.03,0.79536,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
