batch,kernel_time,flops,utils
10180,9072.12,131.78,0.79386
10184,9073.03,131.82,0.7941
10188,9071.72,131.89,0.79452
10192,9075.14,131.89,0.79452
10196,9078.04,131.9,0.79458
10200,9072.09,132.04,0.79542
10204,9077.12,132.02,0.7953
10208,9077.33,132.07,0.7956
10212,9073.35,132.18,0.79627
10216,9075.06,132.21,0.79645
10220,9073.46,132.28,0.79687
10224,9071.02,132.37,0.79741
10228,9073.39,132.39,0.79753
10232,9071.14,132.47,0.79801
10236,9073.35,132.49,0.79813
10240,9075.45,132.51,0.79825
10372,9311.42,130.82,0.78807
10376,9312.57,130.85,0.78825
10380,9313.68,130.89,0.78849
10384,9316.2,130.9,0.78855
10388,9316.13,130.95,0.78886
10392,9314.24,131.03,0.78934
10396,9317.71,131.03,0.78934
10400,9315.63,131.11,0.78982
10404,9316.77,131.15,0.79006
10408,9314.86,131.22,0.79048
10412,9314.96,131.27,0.79078
10416,9317.33,131.29,0.7909
10420,9316.28,131.35,0.79127
10424,9316.19,131.41,0.79163
10428,9314.35,131.48,0.79205
10432,9317.36,131.49,0.79211
10436,9330.31,131.36,0.79133
10440,9328.9,131.43,0.79175
10444,9330.96,131.45,0.79187
10448,9332.47,131.48,0.79205
10452,9332.72,131.53,0.79235
10456,9332.22,131.58,0.79265
10460,9329.33,131.67,0.79319
10464,9331.59,131.69,0.79331
10468,9335.6,131.69,0.79331
10472,9332.79,131.78,0.79386
10476,9334.54,131.8,0.79398
10480,9335.14,131.84,0.79422
10484,9337.08,131.87,0.7944
10488,9337.2,131.91,0.79464
10492,9334.23,132.01,0.79524
10496,9337.73,132.01,0.79524
10628,9557.75,130.59,0.78669
10632,9561.98,130.58,0.78663
10636,9561.69,130.64,0.78699
10640,9562.09,130.68,0.78723
10644,9563.57,130.71,0.78741
10648,9558.41,130.83,0.78813
10652,9563.93,130.8,0.78795
10656,9559.92,130.91,0.78861
10660,9563.57,130.9,0.78855
10664,9560.51,131.0,0.78916
10668,9563.03,131.01,0.78922
10672,9559.31,131.11,0.78982
10676,9565.09,131.08,0.78964
10680,9559.88,131.2,0.79036
10684,9566.0,131.17,0.79018
10688,9561.8,131.27,0.79078
10756,9592.73,131.68,0.79325
10760,9596.18,131.68,0.79325
10764,9591.9,131.79,0.79392
10768,9590.98,131.85,0.79428
10772,9592.27,131.88,0.79446
10776,9588.71,131.98,0.79506
10780,9594.43,131.95,0.79488
10784,9601.11,131.91,0.79464
10788,9592.64,132.08,0.79566
10792,9590.42,132.15,0.79608
10796,9591.78,132.18,0.79627
10800,9591.94,132.23,0.79657
10804,9593.48,132.26,0.79675
10808,9594.49,132.29,0.79693
10812,9596.26,132.32,0.79711
10816,9593.2,132.41,0.79765
10948,9824.23,130.87,0.78837
10952,9832.64,130.81,0.78801
10956,9826.15,130.94,0.7888
10960,9824.21,131.02,0.78928
10964,9826.6,131.03,0.78934
10968,9828.85,131.05,0.78946
10972,9827.35,131.12,0.78988
10976,9830.38,131.13,0.78994
10980,9832.65,131.14,0.79
10984,9826.13,131.28,0.79084
10988,9827.04,131.31,0.79102
10992,9829.7,131.33,0.79114
10996,9830.83,131.36,0.79133
11000,9827.17,131.46,0.79193
11004,9830.55,131.46,0.79193
11008,9834.04,131.46,0.79193
11012,9852.17,131.27,0.79078
11016,9849.22,131.35,0.79127
11020,9851.4,131.37,0.79139
11024,9850.82,131.43,0.79175
11028,9856.54,131.4,0.79157
11032,9852.24,131.5,0.79217
11036,9855.59,131.51,0.79223
11040,9852.58,131.59,0.79271
11044,9851.28,131.66,0.79313
11048,9855.41,131.65,0.79307
11052,9851.52,131.75,0.79367
11056,9850.76,131.81,0.79404
11060,9855.18,131.8,0.79398
11064,9852.88,131.88,0.79446
11068,9853.83,131.91,0.79464
11072,9857.05,131.92,0.7947
11268,10110.85,130.88,0.78843
11272,10108.72,130.96,0.78892
11276,10116.99,130.89,0.78849
11280,10110.44,131.03,0.78934
11284,10109.29,131.09,0.7897
11288,10109.88,131.13,0.78994
11292,10109.62,131.18,0.79024
11296,10113.19,131.18,0.79024
11300,10112.04,131.24,0.7906
11304,10110.31,131.31,0.79102
11308,10112.53,131.32,0.79108
11312,10112.28,131.37,0.79139
11316,10112.06,131.42,0.79169
11320,10110.95,131.48,0.79205
11324,10118.06,131.44,0.79181
11328,10114.55,131.53,0.79235
11332,10109.85,131.64,0.79301
11336,10110.42,131.68,0.79325
11340,10109.08,131.74,0.79361
11344,10110.36,131.77,0.7938
11348,10108.5,131.84,0.79422
11352,10110.04,131.87,0.7944
11356,10108.47,131.93,0.79476
11360,10110.42,131.96,0.79494
11364,10113.49,131.96,0.79494
11368,10112.77,132.02,0.7953
11372,10111.91,132.08,0.79566
11376,10116.49,132.06,0.79554
11380,10114.23,132.14,0.79602
11384,10112.18,132.21,0.79645
11388,10112.19,132.26,0.79675
11392,10114.04,132.28,0.79687
11524,10338.93,130.9,0.78855
11528,10333.64,131.01,0.78922
11532,10335.3,131.04,0.7894
11536,10347.66,130.93,0.78873
11540,10399.16,130.32,0.78506
11544,10381.89,130.59,0.78669
11548,10380.02,130.66,0.78711
11552,10350.14,131.08,0.78964
11556,10343.55,131.21,0.79042
11560,10338.54,131.32,0.79108
11564,10336.27,131.39,0.79151
11568,10339.25,131.4,0.79157
11572,10337.03,131.47,0.79199
11576,10338.89,131.49,0.79211
11580,10337.39,131.56,0.79253
11584,10337.46,131.6,0.79277
11908,10625.42,131.62,0.79289
11912,10633.95,131.56,0.79253
11916,10633.79,131.6,0.79277
11920,10628.85,131.71,0.79343
11924,10627.8,131.76,0.79373
11928,10627.01,131.82,0.7941
11932,10629.41,131.83,0.79416
11936,10630.82,131.86,0.79434
11940,10636.59,131.83,0.79416
11944,10636.12,131.88,0.79446
11948,10634.62,131.94,0.79482
11952,10639.54,131.93,0.79476
11956,10629.84,132.09,0.79572
11960,10631.3,132.12,0.7959
11964,10631.13,132.16,0.79614
11968,10639.3,132.11,0.79584
12100,10859.8,130.85,0.78825
12104,10861.41,130.88,0.78843
12108,10860.14,130.93,0.78873
12112,10864.52,130.93,0.78873
12116,10864.45,130.97,0.78898
12120,10863.72,131.02,0.78928
12124,10857.21,131.14,0.79
12128,10858.39,131.17,0.79018
12132,10862.76,131.16,0.79012
12136,10868.12,131.14,0.79
12140,10867.46,131.19,0.7903
12144,10859.82,131.33,0.79114
12148,10858.49,131.39,0.79151
12152,10861.48,131.39,0.79151
12156,10862.58,131.42,0.79169
12160,10861.81,131.48,0.79205
12164,10890.75,131.17,0.79018
12168,10887.38,131.25,0.79066
12172,10885.02,131.33,0.79114
12176,10889.34,131.32,0.79108
12180,10891.4,131.34,0.7912
12184,10890.26,131.39,0.79151
12188,10890.85,131.43,0.79175
12192,10888.5,131.5,0.79217
12196,10889.07,131.54,0.79241
12200,10887.14,131.6,0.79277
12204,10889.5,131.62,0.79289
12208,10889.52,131.66,0.79313
12212,10890.79,131.69,0.79331
12216,10889.0,131.75,0.79367
12220,10890.63,131.78,0.79386
12224,10890.14,131.83,0.79416
12228,10888.84,131.88,0.79446
12232,10890.0,131.91,0.79464
12236,10890.2,131.95,0.79488
12240,10892.88,131.96,0.79494
12244,10888.54,132.06,0.79554
12248,10885.5,132.14,0.79602
12252,10886.39,132.17,0.7962
12256,10888.47,132.19,0.79633
12260,10886.53,132.26,0.79675
12264,10886.27,132.3,0.79699
12268,10887.79,132.33,0.79717
12272,10888.26,132.37,0.79741
12276,10888.33,132.41,0.79765
12280,10888.88,132.44,0.79783
12284,10890.0,132.47,0.79801
12288,10888.91,132.53,0.79837
12420,11128.78,131.07,0.78958
12424,11133.63,131.05,0.78946
12428,11131.31,131.12,0.78988
12432,11131.16,131.17,0.79018
12436,11127.88,131.25,0.79066
12440,11130.09,131.26,0.79072
12444,11134.47,131.25,0.79066
12448,11128.27,131.37,0.79139
12452,11129.27,131.4,0.79157
12456,11130.96,131.42,0.79169
12460,11133.44,131.43,0.79175
12464,11129.65,131.52,0.79229
12468,11128.64,131.57,0.79259
12472,11133.43,131.56,0.79253
12476,11136.09,131.57,0.79259
12480,11133.14,131.65,0.79307
12484,11142.38,131.58,0.79265
12488,11150.54,131.53,0.79235
12492,11153.11,131.54,0.79241
12496,11148.26,131.64,0.79301
12500,11149.52,131.67,0.79319
12504,11149.58,131.71,0.79343
12508,11150.2,131.74,0.79361
12512,11147.9,131.81,0.79404
12516,11148.81,131.84,0.79422
12520,11148.71,131.89,0.79452
12524,11152.91,131.88,0.79446
12528,11153.21,131.92,0.7947
12532,11152.15,131.97,0.795
12536,11152.43,132.01,0.79524
12540,11153.64,132.04,0.79542
12544,11151.15,132.11,0.79584
12676,11389.98,130.7,0.78735
12680,11393.83,130.7,0.78735
12684,11375.93,130.94,0.7888
12688,11375.52,130.99,0.7891
12692,11372.59,131.07,0.78958
12696,11378.03,131.04,0.7894
12700,11384.71,131.01,0.78922
12704,11381.21,131.09,0.7897
12708,11400.23,130.91,0.78861
12712,11386.0,131.12,0.78988
12716,11381.93,131.21,0.79042
12720,11380.22,131.27,0.79078
12724,11390.59,131.19,0.7903
12728,11386.9,131.27,0.79078
12732,11383.73,131.35,0.79127
12736,11376.09,131.48,0.79205
12740,11407.64,131.16,0.79012
12744,11406.1,131.22,0.79048
12748,11409.85,131.21,0.79042
12752,11418.53,131.16,0.79012
12756,11428.0,131.09,0.7897
12760,11435.86,131.04,0.7894
12764,11411.21,131.36,0.79133
12768,11411.57,131.4,0.79157
12772,11408.12,131.48,0.79205
12776,11414.13,131.45,0.79187
12780,11412.81,131.51,0.79223
12784,11408.82,131.6,0.79277
12788,11411.09,131.61,0.79283
12792,11414.34,131.62,0.79289
12796,11414.5,131.65,0.79307
12800,11418.41,131.65,0.79307
12804,11426.8,131.59,0.79271
12808,11414.41,131.78,0.79386
12812,11408.0,131.89,0.79452
12816,11412.55,131.88,0.79446
12820,11410.04,131.95,0.79488
12824,11411.81,131.97,0.795
12828,11408.78,132.05,0.79548
12832,11409.3,132.08,0.79566
12836,11410.46,132.11,0.79584
12840,11412.19,132.13,0.79596
12844,11414.34,132.15,0.79608
12848,11422.41,132.1,0.79578
12852,11419.92,132.17,0.7962
12856,11419.67,132.21,0.79645
12860,11417.6,132.28,0.79687
12864,11415.38,132.34,0.79723
12996,11641.79,131.1,0.78976
13000,11650.99,131.04,0.7894
