batch,kernel_time,flops,utils
7056,9765.35,169.71,0.54394
7060,9580.14,173.09,0.55478
7064,10359.81,160.16,0.51333
7068,9607.89,172.79,0.55381
7072,10029.95,165.61,0.5308
7076,9961.66,166.84,0.53474
7080,9433.75,176.28,0.565
7084,9657.8,172.29,0.55221
7088,9589.87,173.6,0.55641
7092,9423.27,176.77,0.56657
7096,9886.94,168.58,0.54032
7100,10285.38,162.14,0.51968
7104,10142.29,164.52,0.52731
7108,10381.01,160.83,0.51548
7112,10378.92,160.95,0.51587
7116,10316.38,162.02,0.51929
7120,10280.99,162.66,0.52135
7124,10267.72,162.97,0.52234
7128,10250.11,163.34,0.52353
7132,10289.43,162.81,0.52183
7136,10163.3,164.92,0.52859
7140,10222.37,164.06,0.52583
7144,10230.81,164.01,0.52567
7148,10169.34,165.1,0.52917
7152,10146.43,165.56,0.53064
7156,10188.0,164.98,0.52878
7160,10309.65,163.12,0.52282
7164,10160.83,165.61,0.5308
7168,10024.53,167.95,0.5383
7172,10217.01,164.88,0.52846
7176,10156.2,165.96,0.53192
7180,10310.89,163.56,0.52423
7184,10228.19,164.97,0.52875
7188,10064.09,167.76,0.53769
7192,9875.68,171.05,0.54824
7196,9876.44,171.13,0.54849
7200,10562.54,160.11,0.51317
7204,10361.86,163.3,0.5234
7208,10218.54,165.68,0.53103
7212,10366.67,163.4,0.52372
7216,10371.8,163.41,0.52375
7220,10286.51,164.86,0.5284
7224,10191.45,166.49,0.53362
7228,10213.14,166.23,0.53279
7232,10209.29,166.38,0.53327
7236,10270.81,165.48,0.53038
7240,10337.84,164.5,0.52724
7244,10286.23,165.41,0.53016
7248,10136.38,167.95,0.5383
7252,10515.18,161.99,0.5192
7256,10149.48,167.92,0.53821
7260,10252.65,166.32,0.53308
7264,10316.61,165.38,0.53006
7268,10368.99,164.64,0.52769
7272,10426.57,163.82,0.52506
7276,10554.84,161.92,0.51897
7280,10596.91,161.36,0.51718
7284,10587.58,161.59,0.51792
7288,10428.2,164.15,0.52612
7292,10502.63,163.08,0.52269
7296,10296.46,166.44,0.53346
7300,10501.99,163.27,0.5233
7304,10340.68,165.91,0.53176
7308,10447.01,164.31,0.52663
7312,10775.94,159.38,0.51083
7316,10664.72,161.13,0.51644
7320,10520.13,163.43,0.52381
7324,10519.02,163.54,0.52417
7328,10329.5,166.63,0.53407
7332,10436.05,165.02,0.52891
7336,10463.93,164.67,0.52779
7340,10437.76,165.17,0.52939
7344,10427.46,165.43,0.53022
7348,10766.88,160.3,0.51378
7352,10685.33,161.61,0.51798
7356,10453.89,165.28,0.52974
7360,10308.13,167.7,0.5375
7364,10459.26,165.37,0.53003
7368,10468.43,165.32,0.52987
7372,10553.33,164.08,0.5259
7376,9745.81,177.77,0.56978
7380,10429.32,166.21,0.53272
7384,10517.74,164.9,0.52853
7388,10754.46,161.36,0.51718
7392,10689.48,162.43,0.52061
7396,10610.88,163.72,0.52474
7400,10507.03,165.42,0.53019
7404,10383.14,167.49,0.53683
7408,10707.68,162.5,0.52083
7412,10681.84,162.98,0.52237
7416,10699.02,162.81,0.52183
7420,10507.96,165.86,0.5316
7424,10416.98,167.4,0.53654
7428,10627.29,164.17,0.52619
7432,10927.1,159.75,0.51202
7436,10644.43,164.08,0.5259
7440,10845.81,161.12,0.51641
7444,10844.41,161.23,0.51676
7448,10695.28,163.57,0.52426
7452,10510.81,166.53,0.53375
7456,10637.06,164.64,0.52769
7460,10765.51,162.76,0.52167
7464,10975.03,159.74,0.51199
7468,10769.25,162.88,0.52205
7472,10646.7,164.84,0.52833
7476,10525.26,166.83,0.53471
7480,10344.51,169.84,0.54436
7484,10686.4,164.49,0.52721
7488,10535.96,166.93,0.53503
7492,10701.11,164.44,0.52705
7496,10764.37,163.56,0.52423
7500,10937.0,161.07,0.51625
7504,10953.55,160.91,0.51574
7508,10883.89,162.03,0.51933
7512,10754.78,164.06,0.52583
7516,10773.69,163.86,0.52519
7520,10974.17,160.95,0.51587
7524,10965.45,161.16,0.51654
7528,10814.63,163.5,0.52404
7532,10789.01,163.97,0.52554
7536,10745.38,164.73,0.52798
7540,11002.46,160.96,0.5159
7544,10970.82,161.51,0.51766
7548,10739.08,165.09,0.52913
7552,10662.96,166.35,0.53317
7556,10881.68,163.1,0.52276
7560,11160.32,159.11,0.50997
7564,10952.47,162.21,0.5199
7568,10787.21,164.79,0.52817
7572,10816.54,164.43,0.52702
7576,10731.97,165.81,0.53144
7580,11072.1,160.8,0.51538
7584,11108.9,160.35,0.51394
7588,11053.57,161.24,0.51679
7592,10779.73,165.42,0.53019
7596,10895.45,163.75,0.52484
7600,11224.92,159.03,0.50971
7604,10976.9,162.71,0.52151
7608,10896.78,163.99,0.52561
7612,10761.96,166.13,0.53247
7616,10997.5,162.66,0.52135
7620,11344.25,157.77,0.50567
7624,11044.92,162.13,0.51965
7628,10987.7,163.06,0.52263
7632,10968.14,163.44,0.52385
7636,11339.45,158.17,0.50696
7640,11153.69,160.89,0.51567
7644,10936.2,164.17,0.52619
7648,11065.11,162.35,0.52035
7652,11168.96,160.92,0.51577
7656,11089.3,162.16,0.51974
7660,10945.63,164.38,0.52686
7664,11127.82,161.77,0.51849
7668,11349.6,158.69,0.50862
7672,10867.38,165.82,0.53147
7676,10924.76,165.03,0.52894
7680,11110.15,162.36,0.52038
7684,11230.17,160.71,0.5151
7688,11136.49,162.15,0.51971
7692,10827.24,166.87,0.53484
7696,11051.13,163.57,0.52426
7700,11342.88,159.45,0.51106
7704,10353.77,174.77,0.56016
7708,10516.35,172.16,0.55179
7712,10516.92,172.24,0.55205
7716,10210.15,177.5,0.56891
7720,10318.32,175.73,0.56324
7724,10323.13,175.74,0.56327
7728,10314.13,175.99,0.56407
7732,10391.28,174.77,0.56016
7736,10763.13,168.82,0.54109
7740,11255.51,161.52,0.51769
7744,11169.45,162.85,0.52196
7748,10973.25,165.84,0.53154
7752,10477.65,173.78,0.55699
7756,11098.86,164.14,0.52609
7760,11295.4,161.36,0.51718
7764,11280.64,161.66,0.51814
7768,10869.03,167.87,0.53804
7772,11052.77,165.16,0.52936
7776,11398.39,160.24,0.51359
7780,11227.39,162.76,0.52167
7784,11085.39,164.93,0.52862
7788,11072.12,165.21,0.52952
7792,11412.09,160.37,0.51401
7796,11202.16,163.46,0.52391
7800,11261.33,162.69,0.52144
7804,11055.48,165.8,0.53141
7808,11356.75,161.49,0.5176
7812,11598.16,158.21,0.50708
7816,11182.06,164.18,0.52622
7820,11483.93,159.94,0.51263
7824,11521.43,159.5,0.51122
7828,11180.14,164.46,0.52712
7832,11489.8,160.11,0.51317
7836,11492.01,160.16,0.51333
7840,11195.9,164.48,0.52718
7844,11247.24,163.81,0.52503
7848,11647.74,158.26,0.50724
7852,11388.51,161.94,0.51904
7856,11238.32,164.19,0.52625
7860,11605.98,159.07,0.50984
7864,11329.93,163.03,0.52253
7868,11352.5,162.79,0.52176
7872,11681.31,158.29,0.50734
7876,11554.58,160.1,0.51314
